,CREEDS_drug_id,Disease,DOID,Concept_ID,ICD9,,,,,,,,,
1,dz:578,arthritis,DOID:848,C0003864,714,,,,,,,,,
2,dz:713,asthma,DOID:2841,C0004096,493,,,,,,,,,
3,dz:116,oligodendroglioma,DOID:3181,C0028945,192.9,,,,,,,,,
4,dz:98,appendicitis,DOID:8337,C0003615,540,,,,,,,,,
5,dz:39,breast cancer,DOID:1612,C0006142,174,,,,,,,,,
6,dz:6,autoimmune polyendocrine syndrome type 1,DOID:0050167,C0085859,258.1,,,,,,,,,
7,dz:311,Gamma-hydroxybutyric acidaemia,,C0268631,279,,,,,,,,,
8,dz:309,hepatitis C,DOID:1883,C0019196,070.7,,,,,,,,,
9,dz:415,androgen insensitivity syndrome,DOID:4674,C0039585,259.51,,,,,,,,,
10,dz:419,Human immunodeficiency virus infectious disease,DOID:526,C0019693,42,,,,,,,,,
11,dz:966,Wilson disease,DOID:893,C0019202,275.1,,,,,,,,,
12,dz:167,Senescence,,C0001792,797,,,,,,,,,
13,dz:273,congestive heart failure,DOID:6000,C0018801,428,,,,,,,,,
14,dz:201,severe combined immunodeficiency,DOID:627,C0085110,279.3,,,,,,,,,
15,dz:813,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
16,dz:208,anterior horn cell disease,DOID:4873,C0154681,335,,,,,,,,,
17,dz:65,cystic fibrosis,DOID:1485,C0010674,277,,,,,,,,,
18,dz:149,endometriosis,DOID:289,C0014175,617,,,,,,,,,
19,dz:1023,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
20,dz:414,bacterial infectious disease,DOID:104,C0004623,,,,,,,,,,
21,dz:239,parasitic protozoa infectious disease,DOID:2789,C0033740,7.8,,,,,,,,,
22,dz:390,Rett syndrome,DOID:1206,C0035372,330.8,,,,,,,,,
23,dz:228,dry eye syndrome,DOID:10140,C0013238,375.15,,,,,,,,,
24,dz:752,osteoarthritis,DOID:8398,C0157946,715,,,,,,,,,
25,dz:154,obesity,DOID:9970,C0028754,278,,,,,,,,,
26,dz:85,influenza,DOID:8469,C0021400,487.1,,,,,,,,,
27,dz:392,breast cancer,DOID:1612,C0006142,174,,,,,,,,,
28,dz:520,Alzheimer's disease,DOID:10652,C0002395,331,,,,,,,,,
29,dz:1068,Lewy body dementia,DOID:12217,C0752347,331.82,,,,,,,,,
30,dz:128,lytic metastatic bone lesion,MONDO:0043731,C0029435,198.5,,,,,,,,,
31,dz:408,Senescence,,C0001792,797,,,,,,,,,
32,dz:807,obesity,DOID:9970,C0028754,278,,,,,,,,,
33,dz:492,glomerulosclerosis,DOID:0050851,,582.1,,,,,,,,,
34,dz:614,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
35,dz:715,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
36,dz:610,pancreatic invasive intraductal papillary-mucinous carcinoma,DOID:8150,C1518871,211.6,,,,,,,,,
37,dz:643,Barrett's esophagus,DOID:9206,C0004763,530.85,,,,,,,,,
38,dz:160,nemaline myopathy,DOID:3191,C0206157,359,,,,,,,,,
39,dz:240,bone fracture femur,MONDO:0005315,C0015802,821,,,,,,,,,
41,dz:851,idiopathic pulmonary fibrosis,DOID:0050156,,516.31,,,,,,,,,
42,dz:376,acute pancreatitis,DOID:2913,C0001339,577,,,,,,,,,
43,dz:974,nemaline myopathy,DOID:3191,C0206157,359,,,,,,,,,
44,dz:718,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
45,dz:741,Parkinson's disease,DOID:14330,C0030567,332,,,,,,,,,
46,dz:906,atherosclerosis,DOID:1936,C0004153,440.2,,,,,,,,,
47,dz:888,Sjogren's syndrome,DOID:12894,C1527336,710.2,,,,,,,,,
48,dz:1025,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
49,dz:408,Senescence,,C0001792,797,,,,,,,,,
50,dz:18,muscular dystrophy,DOID:9884,C0026850,359,,,,,,,,,
51,dz:597,hepatitis C,DOID:1883,C0019196,070.7,,,,,,,,,
52,dz:297,acne,DOID:6543,C0702166,706.1,,,,,,,,,
53,dz:575,arthritis,DOID:848,C0003864,714,,,,,,,,,
54,dz:581,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
55,dz:689,discoid lupus erythematosus,MONDO:0019558,C0024138,695.4,,,,,,,,,
56,dz:92,simian acquired immunodeficiency syndrome,DOID:621,C0080151,42,,,,,,,,,
57,dz:149,endometriosis,DOID:289,C0014175,617,,,,,,,,,
58,dz:930,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
59,dz:474,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
60,dz:705,dermatomyositis,DOID:10223,C0011633,710.3,,,,,,,,,
61,dz:21,anaplasmosis,DOID:0050376,C0002797,82.49,,,,,,,,,
62,dz:1028,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
63,dz:862,glioblastoma multiforme,DOID:3068,C0017636,191.9,,,,,,,,,
64,dz:375,Marfan syndrome,DOID:14323,C0024796,759.82,,,,,,,,,
65,dz:778,nasopharynx carcinoma,DOID:9261,C0238301,147.9,,,,,,,,,
66,dz:1057,cystic fibrosis,DOID:1485,C0010674,277,,,,,,,,,
67,dz:178,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
68,dz:261,schizophrenia,DOID:5419,C0036341,259.1,,,,,,,,,
69,dz:947,endometriosis,DOID:289,C0014175,617,,,,,,,,,
70,dz:476,methylmalonic acidemia,DOID:14749,C0220751,270.3,,,,,,,,,
71,dz:262,cerebral infarction,DOID:3526,C0007785,434.91,,,,,,,,,
72,dz:791,anemia,DOID:2355,C0002871,285,,,,,,,,,
73,dz:359,vitamin A deficiency,DOID:10257,C0042842,264.9,,,,,,,,,
74,dz:845,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
75,dz:818,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
76,dz:971,nemaline myopathy,DOID:3191,C0206157,359,,,,,,,,,
77,dz:588,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
78,dz:151,Infertility due to azoospermia,,C1321542,606,,,,,,,,,
79,dz:830,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
80,dz:677,Emery-Dreifuss muscular dystrophy,DOID:11726,C0410189,359.1,,,,,,,,,
81,dz:559,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
82,dz:1071,breast adenocarcinoma,DOID:3458,C0858252,174,,,,,,,,,
83,dz:209,hypertension,DOID:10763,C0020538,401,,,,,,,,,
84,dz:448,breast cancer,DOID:1612,C1458155,174,,,,,,,,,
85,dz:521,Alzheimer's disease,DOID:10652,C0002395,331,,,,,,,,,
86,dz:917,Barrett's esophagus,DOID:9206,C0004763,530.85,,,,,,,,,
87,dz:762,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
88,dz:263,tonsillitis Streptococcal,DOID:10456,C0275804,34,,,,,,,,,
90,dz:708,sarcoidosis,DOID:11335,C0036202,135,,,,,,,,,
91,dz:636,prolactinoma,DOID:5394,C0033375,227.3,,,,,,,,,
92,dz:677,Emery-Dreifuss muscular dystrophy,DOID:11726,C0410189,359.1,,,,,,,,,
93,dz:822,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
94,dz:478,breast cancer,DOID:1612,C1458155,174,,,,,,,,,
95,dz:181,bipolar disorder,DOID:3312,C0005586,296.7,,,,,,,,,
96,dz:1073,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
97,dz:587,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
98,dz:506,sickle cell anemia,DOID:10923,C0019034,282.6,,,,,,,,,
99,dz:1044,intellectual disability,DOID:1059,C0025362,319,,,,,,,,,
100,dz:1050,myotonic dystrophy type 1,DOID:11722,C0027126,359.21,,,,,,,,,
101,dz:400,hypertension,DOID:10763,C0020538,401,,,,,,,,,
102,dz:309,hepatitis C,DOID:1883,C0019196,070.7,,,,,,,,,
103,dz:843,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
104,dz:262,cerebral infarction,DOID:3526,C0007785,434.91,,,,,,,,,
105,dz:335,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
106,dz:39,breast cancer,DOID:1612,C0006142,174,,,,,,,,,
107,dz:77,atherosclerosis,DOID:1936,C0004153,440.2,,,,,,,,,
108,dz:724,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
109,dz:170,Pseudomonas infection,MONDO:0005141,C0033817,41.7,,,,,,,,,
110,dz:277,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
111,dz:1068,Lewy body dementia,DOID:12217,C0752347,331.82,,,,,,,,,
112,dz:547,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
113,dz:250,Hypoxia,,C0242184,768,,,,,,,,,
114,dz:515,fragile X syndrome,DOID:14261,C0016667,759.83,,,,,,,,,
115,dz:487,glaucoma,DOID:1686,C0017601,365.9,,,,,,,,,
116,dz:715,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
117,dz:639,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
118,dz:223,diabetic nephropathy,DOID:2370,C0011881,250.42,,,,,,,,,
119,dz:425,Epithelial proliferation,,C0334097,,,,,,,,,,
120,dz:83,Lung transplant rejection,,C0729958,996.84,,,,,,,,,
121,dz:693,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
122,dz:359,vitamin A deficiency,DOID:10257,C0042842,264.9,,,,,,,,,
123,dz:341,commensal Escherichia coli infectious disease central nervous system,DOID:2905,C1320188,41.4,,,,,,,,,
125,dz:657,skin squamous cell carcinoma,DOID:3151,C0553723,173.92,,,,,,,,,
126,dz:829,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
127,dz:68,fatty liver disease,DOID:9452,C0015695,571.8,,,,,,,,,
128,dz:357,schizophrenia,DOID:5419,C0036341,259.1,,,,,,,,,
129,dz:428,cystic fibrosis,DOID:1485,C0010674,277,,,,,,,,,
130,dz:578,arthritis,DOID:848,C0003864,714,,,,,,,,,
131,dz:564,tuberculosis,DOID:399,C0041295,11.9,,,,,,,,,
132,dz:206,myelodysplastic syndrome,DOID:0050908,C0026986,238.75,,,,,,,,,
133,dz:211, ,MONDO:0043797,C0037929,952,,,,,,,,,
134,dz:457,Wolfram syndrome,DOID:10632,C0043207,249.9,,,,,,,,,
135,dz:347,meningococcal infection,MONDO:0005373,C0025303,,,,,,,,,,
136,dz:1002,acute myocardial infarction,DOID:9408,C0155626,410,,,,,,,,,
137,dz:346,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
138,dz:972,nemaline myopathy,DOID:3191,C0206157,359,,,,,,,,,
139,dz:213,Leber congenital amaurosis,DOID:14791,C0339527,362.76,,,,,,,,,
140,dz:1027,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
141,dz:1005,acute myocardial infarction,DOID:9408,C0155626,410,,,,,,,,,
142,dz:955,multiple myeloma,DOID:9538,C0026764,203,,,,,,,,,
143,dz:355,Ventilator-associated lung injury,,C0340257,,,,,,,,,,
144,dz:773,familial combined hyperlipidemia,DOID:13809,C0020474,272.2,,,,,,,,,
145,dz:861,astrocytoma,DOID:3069,C0750935,191.9,,,,,,,,,
146,dz:277,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
147,dz:652,papillary thyroid carcinoma,DOID:3969,C0238463,193,,,,,,,,,
148,dz:702,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
149,dz:467,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
150,dz:809,fragile X syndrome,DOID:14261,C0016667,759.83,,,,,,,,,
151,dz:524,Alzheimer's disease,DOID:10652,C0002395,331,,,,,,,,,
152,dz:777,nasopharynx carcinoma,DOID:9261,C0238301,147.9,,,,,,,,,
153,dz:847,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
154,dz:70,Hypoxia,,C0242184,768,,,,,,,,,
155,dz:543,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
156,dz:249,ulcerative colitis,DOID:8577,C0009324,556.9,,,,,,,,,
157,dz:874,West Nile fever,DOID:2366,C0043124,66.4,,,,,,,,,
158,dz:55,premature aging,MONDO:0019303,C0231341,259.8,,,,,,,,,
159,dz:427,spinal cord injury,MONDO:0043797,C0037929,952,,,,,,,,,
160,dz:739,lupus erythematosus,DOID:8857,C0409974,695.4,,,,,,,,,
161,dz:891,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
162,dz:283,amyotrophic lateral sclerosis,DOID:332,C0002736,335.2,,,,,,,,,
163,dz:38,familial hyperlipidemia,DOID:1168,C0020473,272,,,,,,,,,
164,dz:810,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
165,dz:876,Rift Valley fever,DOID:1328,C0035613,66.6,,,,,,,,,
